Number,name,species,breed,gender,birth,chipNumber
431,Mickey,dog,Samoyed,male,2023-07-20,EM972371X
432,Diva,cat,Bambino,female,2016-01-17,WN231110W
433,Peaches,dog,Akita,female,2023-11-06,AO775608X
434,Buddy,dog,Cocker Spaniel,male,2015-08-03,QO996961X
435,Finn,cat,Burmese,male,2013-02-04,LM227140Y
436,Smokey,dog,Chihuahua,male,2019-04-07,OP466326Z
437,Angel,cat,Cymric,female,2012-07-20,SP286676W
438,Hank,cat,Khao Manee,male,2011-03-04,LN458899Z
439,Tucker,dog,English Mastiff,male,2010-01-17,LO549329Z
440,Bubbles,dog,Beagle,female,2012-06-04,ZN691345X
441,Foxy,cat,Fluffybutt,female,2011-02-18,KN381229Z
442,Gracie,dog,Basset Hound,female,2011-04-22,BP799009Z
443,Yara,dog,Irish Wolfhound,female,2015-11-25,YM625470X
444,Diva,dog,Newfoundland,female,2018-10-13,NN722921W
445,Cooper,dog,Great Dane,male,2012-06-25,ZN994382W
446,Jax,cat,Norwegian Forest Cat,male,2021-04-20,RM999502X
447,Duke,cat,Siberian,male,2013-02-03,UM388887Y
448,Dexter,cat,Bambino,male,2022-02-22,ZN805280X
449,Cleo,cat,Chausie,female,2016-10-17,PN757078W
450,Foxy,dog,Siberian Husky,female,2022-07-25,FO611010X
451,Spike,dog,Rhodesian Ridgeback,male,2016-05-30,PM799290Y
452,Beau,dog,Bichon Frise,male,2010-12-04,QO301526W
453,Yasmin,cat,Russian Blue,female,2018-10-23,JN873892X
454,Max,dog,Chow Chow,male,2020-12-05,VN833932Y
455,Yuki,dog,Samoyed,female,2021-09-03,UO561288Y
456,Marley,cat,Ukrainian Levkoy,male,2022-09-08,ON344971X
457,Lulu,cat,European Shorthair,female,2011-01-03,BP119642W
458,Nala,dog,Dalmatian,female,2015-06-08,RO575307Y
459,Frankie,cat,Exotic Shorthair,male,2022-07-09,AO822244X
460,Toby,dog,Shih Tzu,male,2014-12-08,SO490332X
461,Jax,cat,Chausie,male,2020-04-28,DN560322Y
462,Tommy,dog,Border Collie,male,2014-08-08,JO307734W
463,Coco,dog,Bulldog,male,2018-01-15,JM678142Y
464,Whisper,dog,German Shepherd,female,2010-09-18,QN783472W
465,Dolly,cat,Nebelung,female,2010-07-11,HP780961X
466,Apollo,dog,Dalmatian,male,2017-12-07,IP815803Z
467,Jewel,dog,Doberman Pinscher,female,2011-06-22,GP915215Z
468,Aria,dog,Portuguese Water Dog,female,2014-10-21,QM314708Y
469,Beau,dog,Shih Tzu,male,2018-04-20,AM203737Z
470,Felix,dog,Bloodhound,male,2016-06-06,DP383287Z
471,Sophie,cat,Ukrainian Levkoy,female,2015-11-27,NN260184Z
472,Boomer,cat,Cornish Rex,male,2015-09-18,HO115664Z
473,Bella,dog,Labrador Retriever,female,2016-09-30,AM375179Z
474,Missy,cat,Pixiebob,female,2019-07-15,WM372136Y
475,Sasha,cat,Ragdoll,female,2020-04-11,UM257247Y
476,Kira,dog,French Bulldog,female,2023-11-28,MN838515Z
477,Tinkerbell,cat,Sphynx,female,2010-08-06,IP779591W
478,Tulip,cat,Oriental Shorthair,female,2018-09-29,YP601657W
479,Murphy,cat,Werewolf,male,2023-05-04,ZM308361W
480,Benny,cat,Khao Manee,male,2011-06-01,CM838011X
481,Olaf,dog,Pomeranian,male,2022-12-02,FN322658X
482,Benny,cat,Singapura,male,2011-12-17,MN350388Z
483,Nina,dog,Border Collie,female,2012-08-01,KO329294W
484,Molly,cat,LaPerm,female,2016-12-29,JM236003Y
485,Dexter,dog,Italian Greyhound,male,2012-02-01,VN895658Z
486,Kitty,cat,Peterbald,female,2013-10-15,MO952341W
487,Riley,dog,English Mastiff,male,2019-09-07,VN973718Z
488,Buddy,dog,Bullmastiff,male,2016-12-27,CM811832X
489,Bailey,cat,Tonkinese,male,2021-06-10,UN705917X
490,Elsa,dog,Pomeranian,female,2015-09-07,QO190838Z
491,Koda,dog,German Shepherd,male,2020-12-19,MO773367X
492,Lucy,cat,Turkish Van,female,2015-10-25,QM848043W
493,Juno,cat,Burmese,female,2017-01-18,XM861960Z
494,Elsa,dog,Border Collie,female,2012-12-01,LM865112W
495,Kiki,dog,Bloodhound,female,2022-03-01,IM462028X
496,Winston,dog,Poodle,male,2015-11-22,VN814850X
497,Jinx,dog,Corgi,male,2010-09-21,KP179303Y
498,Clyde,cat,Tonkinese,male,2018-02-16,WN937542X
499,Sable,dog,Labrador Retriever,female,2011-06-25,AN274235X
500,Vera,dog,Lhasa Apso,female,2018-02-24,MN231917W
501,Duncan,cat,Abyssinian,male,2019-06-16,MO703630X
502,Xyla,cat,Pixiebob,female,2018-09-19,XN171565Z
503,Sammy,cat,Bengal,male,2019-03-01,BO115720Y
504,Honey,dog,Shar Pei,female,2023-06-02,CM990578W
505,Roscoe,dog,Chihuahua,male,2015-06-23,TO108927Y
506,Missy,dog,Borzoi,female,2015-11-12,EM238215X
507,Smokey,dog,Cane Corso,male,2014-04-21,TM545165W
508,Kobe,dog,Shetland Sheepdog,male,2015-11-17,GP416581Z
509,Sable,dog,Doberman Pinscher,female,2023-06-30,MN253009Y
510,Abby,cat,Russian Blue,female,2016-02-13,SN816852X
511,Mango,cat,American Curl,male,2011-09-26,BN863696Y
512,Josie,dog,Cocker Spaniel,female,2022-10-31,XM264065W
513,Daisy,cat,Pixie Muffin,female,2015-09-28,BP370175Y
514,Eddie,cat,Peterbald,male,2012-12-04,KM566284Z
515,Tommy,dog,Pug,male,2016-04-03,UP308565Z
516,Teddy,dog,Portuguese Water Dog,male,2013-05-25,WP233959Z
517,Diva,dog,Doberman Pinscher,female,2012-07-06,HO660093Z
518,Beau,dog,Yorkshire Terrier,male,2021-03-07,HP314426W
519,Minnie,cat,Bambino,female,2013-07-25,QN551381Y
520,Zelda,cat,Egyptian Mau,female,2016-06-13,JP705229Y
521,Athena,cat,Devon Rex,female,2018-10-10,UN632410Z
522,Peaches,cat,Sokoke,female,2022-08-26,RP980297Z
523,Oreo,dog,Beagle,female,2015-10-05,KM763540Y
524,Yasmin,cat,British Shorthair,female,2023-08-20,LP518351Y
525,Marley,cat,Japanese Bobtail,male,2021-06-06,TO449285Y
526,Sasha,cat,Havana Brown,female,2010-02-01,BP499609X
527,Jax,cat,Asian,male,2010-09-28,PM287413X
528,Riley,dog,English Mastiff,male,2016-09-01,HM780547Z
529,Vera,cat,Oriental Shorthair,female,2021-01-11,UM786242W
530,Benny,dog,Bullmastiff,male,2022-12-25,UN908473W
531,Nala Blue,cat,Toyger,female,2014-11-28,IP123258W
532,Stella,cat,Khao Manee,female,2022-06-03,ZO930232Y
533,Teddy,cat,Toyger,male,2010-06-29,AN434687Z
534,Jax,dog,Bullmastiff,male,2021-11-28,LP603075Z
535,Sable,cat,Fluffybutt,female,2014-09-26,FO984567Y
536,Buddy,dog,Chow Chow,male,2011-07-29,PP418676W
537,Jewel,dog,Cocker Spaniel,female,2010-11-11,BN963836Y
538,Teddy,cat,Scottish Fold,male,2010-08-24,YP423040W
539,Yuki,cat,Chartreux,female,2017-04-26,FP215207Z
540,Elsa,cat,Siamese,female,2013-10-30,WM743162Y
541,Angel,dog,Keeshond,female,2012-04-29,TN574445Z
542,Winston,dog,Corgi,male,2016-06-09,CN848608Z
543,Rusty,dog,Australian Shepherd,male,2012-03-07,SP923260X
544,Harvey,dog,Italian Greyhound,male,2014-08-26,PM999210Z
545,Smokey,dog,Staffordshire Bull Terrier,male,2010-12-29,MO248375X
546,Charlie,dog,Pug,male,2012-02-20,YN926542W
547,Gizmo,cat,Cymric,male,2019-03-21,CN372194X
548,Cooper,dog,Chihuahua,male,2020-10-15,ZM549413W
549,Callie,dog,Maltese,female,2018-03-03,UN232795Z
550,Oliver,cat,Korat,male,2022-12-28,IP636349Y
551,Jasper,cat,Exotic Shorthair,male,2017-11-27,WM141733Z
552,Baxter,dog,Cane Corso,male,2016-03-30,LN854947W
553,Eden,dog,Rhodesian Ridgeback,female,2022-06-07,RN862242W
554,Louie,cat,Ragdoll,male,2018-12-12,MN334860Z
555,Maddie,dog,Italian Greyhound,female,2011-09-26,PN204601Z
556,Raven,dog,Borzoi,female,2023-04-27,VO529058Y
557,Rocky,dog,Akita,male,2016-06-08,CN601571W
558,Xyla,cat,Scottish Fold,female,2012-05-14,UO502078Y
559,Olly,dog,Cocker Spaniel,male,2013-10-30,UO889741Z
560,Nala Blue,dog,Bulldog,female,2016-10-29,ON392522X
561,Coco,dog,Maltese,male,2014-09-13,EM367603W
562,Simba,dog,Cavalier King Charles Spaniel,male,2011-10-30,WO623989X
563,Billy,cat,Norwegian Forest Cat,male,2017-01-04,NP903408X
564,Spike,cat,Nebelung,male,2016-07-16,MM805110X
565,Brutus,cat,Russian Blue,male,2010-12-29,GM922822X
566,Shadow,dog,Australian Shepherd,male,2017-10-09,IO670210W
567,Quinn,dog,Cocker Spaniel,female,2011-09-14,RN942298Y
568,Zelda,dog,German Shepherd,female,2019-07-12,EM810398Z
569,Raven,cat,Scottish Fold,female,2020-02-07,BP274283Y
570,Olive,cat,Sphynx,female,2014-06-25,CP238354Z
571,Leo,cat,Turkish Angora,male,2010-11-27,XO815577Y
572,Sophie,dog,Poodle,female,2023-02-19,NO175853Y
573,Missy,cat,Ragdoll,female,2014-08-11,YM273520Z
574,Viva,dog,Poodle,female,2022-07-29,PP960199W
575,Loki,dog,Bichon Frise,male,2014-08-30,IN940886Z
576,Lily,cat,Japanese Bobtail,female,2010-03-10,XN324933Z
577,Leia,dog,Labrador Retriever,female,2013-06-19,HP299144Y
578,Winston,dog,Dalmatian,male,2016-11-20,SP234263X
579,Sammy,cat,Turkish Angora,male,2023-03-20,HP860220X
580,Yara,cat,American Curl,female,2013-09-25,IN638565W
581,Jewel,cat,Abyssinian,female,2014-10-14,WM840908Y
582,Marley,dog,Collie,male,2020-09-01,KN993942X
583,Milo,cat,Snowshoe,male,2015-09-07,HO637611X
584,Mochi,cat,Sokoke,male,2012-07-26,LP399857Z
585,Mickey,cat,Toyger,male,2013-02-19,FM567902Y
586,Daisy Mae,cat,Siberian,female,2021-08-29,LO611210Z
587,Sasha,dog,Shetland Sheepdog,female,2017-05-30,TO188574Y
588,Raina,cat,Asian,female,2010-12-09,DO876267Y
589,Boomer,dog,Staffordshire Bull Terrier,male,2011-02-09,PN595732X
590,Rocky,dog,Poodle,male,2014-06-28,NM178328Z
591,Kobe,cat,British Shorthair,male,2021-07-28,UO936350Z
592,Zeppelin,dog,German Shorthaired Pointer,male,2022-03-22,FO472970W
593,Jinx,cat,Chausie,male,2019-07-26,OO643179Z
594,Athena,dog,Labrador Retriever,female,2019-03-14,PN767941W
595,Beau,dog,Bullmastiff,male,2011-03-02,SO826567Y
596,Jagger,dog,Rottweiler,male,2013-02-19,BN512474Y
597,Tiger,dog,French Bulldog,male,2011-09-02,UN359625X
598,Koda,dog,Irish Wolfhound,male,2016-04-15,XM682041Z
599,Jax,cat,Japanese Bobtail,male,2022-06-18,WN828948W
600,Max,cat,Birman,male,2010-01-17,UM778146Z
